ID,Unnamed:_0,food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Health_Label
215,215,macadamia nuts raw,38,4.0,0.6,3.1,0.059,0.7,0.2,0.4,0.5,0.0,0.011,0.011,0.0,0.032,0.061,0.0,0.042,0.1,0.066,0.035,0.062,0.0,0.058,0.0,4.5,0.009,0.2,6.8,0.2,9.9,19.3,0.064,0.034,10.387,Healthy
216,216,pectin,163,0.2,0.052,0.093,0.076,45.2,0.0,0.2,4.3,0.0,0.1,4.4,0.0,0.042,0.025,0.0,0.021,0.017,0.023,0.063,0.0,0.0,0.0,0.0,3.5,0.2,1.4,0.5,0.094,1.0,3.5,0.0,0.2,54.8,Healthy
217,217,black walnut dried,31,3.0,0.2,0.8,1.8,0.5,0.018,1.2,0.3,0.0,0.028,0.2,0.0,0.014,0.083,0.0,0.097,0.036,0.056,0.067,0.032,0.0,0.091,0.029,3.1,0.071,0.2,10.1,0.2,25.7,26.2,0.046,0.2,8.347,Healthy
218,218,water chestnut canned,70,0.015,0.05,0.068,0.053,17.2,3.4,1.2,3.5,0.0,0.011,121.0,0.0,0.035,0.016,0.0,0.03,0.5,0.3,0.2,1.8,0.0,0.7,0.043,5.6,0.1,1.2,7.0,0.2,26.6,165.2,0.099,0.5,30.594,Healthy
219,219,ginkgo nuts dried,98,0.6,0.1,0.2,0.2,20.5,0.0,2.9,0.0,0.0,0.045,3.5,0.0,0.1,0.054,0.0,0.01,3.3,0.4,0.2,8.3,0.0,0.0,0.0,5.7,0.2,0.5,15.0,0.059,76.1,282.4,0.0,0.2,38.5,Healthy
220,220,virginia peanuts raw,822,71.2,9.3,36.9,21.5,24.1,5.8,36.8,12.4,0.0,0.008,10.1,0.0,1.0,0.3,0.0,0.2,18.1,2.6,0.5,0.0,0.0,9.6,0.0,129.9,1.6,3.7,249.7,2.5,554.8,1007.4,0.042,6.5,278.1,Healthy
221,221,valencia peanuts roasted,177,15.4,2.4,6.9,5.3,4.9,0.0,8.1,2.7,0.0,0.004,0.6,0.0,0.052,0.003,0.0,0.068,4.3,0.4,0.072,0.0,0.0,0.0,0.0,16.2,0.3,0.5,48.0,0.5,95.7,183.6,0.046,0.9,47.8,Healthy
222,222,nesfit diet cereal nestle,75,0.0,14.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Healthy
223,223,corn grits cooked,182,1.2,0.2,0.2,0.4,37.9,0.3,4.4,2.1,0.0,0.6,213.1,0.0,0.2,0.002,0.0,0.1,2.1,0.1,0.1,0.0,0.0,0.03,0.0,2.6,0.0,1.5,18.0,0.008,51.4,69.4,0.052,0.5,49.7,Healthy
224,224,amaranth flakes,134,2.7,0.5,0.8,1.0,27.0,0.2,5.9,3.6,0.0,0.067,1.1,0.0,0.033,0.025,0.0,0.0,1.0,0.0,0.006,1.0,0.0,0.5,0.007,6.5,0.011,0.7,9.5,0.0,125.8,134.1,0.009,0.011,47.4,Healthy
225,225,granola,293,14.6,2.4,6.6,4.7,32.3,11.9,8.2,5.3,0.0,0.01,3.5,0.008,0.3,0.017,0.0,0.2,1.6,0.9,0.2,0.7,0.0,6.7,0.035,45.6,0.4,2.4,100.8,2.4,258.6,323.4,0.087,2.5,109.142,Healthy
226,226,muesli with fruit nuts,231,3.4,0.5,1.2,1.4,45.7,14.2,4.3,5.8,0.0,0.1,5.1,0.2,0.4,177.6,0.047,0.5,5.5,2.8,0.5,0.0,0.028,1.4,0.038,25.8,0.2,5.9,72.0,1.3,176.4,229.2,0.083,1.6,91.1,Unhealthy
227,227,muesli master crumble,124,2.4,1.0,19.8,8.5,4.5,0.042,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,Healthy
228,228,bran flakes,131,0.8,0.2,0.1,0.5,32.2,7.4,4.0,7.3,0.0,0.2,1.4,0.0,0.3,0.5,0.4,0.011,0.6,6.7,0.3,0.7,0.0,0.09,0.3,0.025,17.6,0.3,11.2,91.6,1.4,179.6,213.2,0.083,45.358,Healthy
229,229,nut cereal,245,5.9,1.0,3.9,0.5,46.2,17.2,4.0,3.6,0.0,0.3,2.6,0.2,0.5,0.3,0.0,0.6,6.5,0.3,0.7,10.7,0.002,0.0,0.0,75.6,0.2,10.3,39.0,1.0,106.8,134.4,0.066,3.0,156.5,Unhealthy
230,230,corn flakes,108,0.3,0.098,0.071,0.018,24.6,2.2,1.7,0.8,0.0,0.2,0.9,0.0,0.3,1.3,0.026,0.056,0.5,5.9,0.022,0.5,18.2,0.011,0.011,0.0,0.6,0.083,5.4,2.0,0.06,9.2,30.0,0.077,27.947,Healthy
231,231,corn grits dry,36,0.2,0.022,0.018,0.032,7.7,0.008,0.7,0.4,0.0,0.054,1.1,0.0,0.1,0.08,0.0,0.032,0.4,0.072,0.097,0.0,0.0,0.07,0.0,0.4,0.086,0.3,3.5,0.029,10.8,13.7,0.024,0.046,9.7,Healthy
